Country,Happiness Index,anger_no,anger_yes,enjoyment_no,enjoyment_yes,learned_no,learned_yes,pain_no,pain_yes,respect_no,respect_yes,sadness_no,sadness_yes,smiled_no,smiled_yes,stress_no,stress_yes,well-rested_no,well-rested_yes,worry_no,worry_yes,PERCENTAGE_Safety,SCORE_law_order
Nepal,5.311,75,24,37,62,72,28,55,45,30,70,65,34,53,47,62,38,32,68,54,46,60.0,77.0
Netherlands,7.306,91,9,17,83,52,47,71,29,5,94,83,17,22,78,72,28,28,72,64,35,83.0,88.0
New Zealand,6.952,87,13,20,80,36,64,68,32,6,93,79,20,23,77,59,41,30,70,65,35,58.0,76.0
Nicaragua,6.33,82,18,25,75,29,71,62,38,3,97,65,35,15,85,54,46,24,75,50,50,,
Niger,4.725,69,31,28,72,34,66,49,51,15,85,62,38,14,86,51,48,35,65,44,56,60.0,68.0
Nigeria,4.885,78,22,40,60,28,72,73,27,16,84,79,20,16,84,41,59,36,64,61,38,55.0,65.0
North Macedonia,5.503,74,26,33,65,66,32,68,32,9,89,81,18,43,55,71,29,44,56,62,37,72.0,79.0
Northern Cyprus,,49,49,58,39,79,19,72,26,14,83,56,43,59,38,34,65,50,50,56,42,75.0,82.0
Norway,7.262,90,10,16,84,30,70,73,27,5,95,79,20,27,73,63,37,36,64,62,38,92.0,93.0
Pakistan,4.768,64,36,44,56,70,30,51,49,10,90,59,40,35,65,67,33,43,57,51,49,53.0,78.0
Panama,6.407,88,12,13,87,27,72,73,27,4,96,76,24,11,88,62,38,16,84,59,40,60.0,77.0
Paraguay,6.172,88,12,10,88,28,71,71,28,3,97,80,20,11,88,64,35,15,85,60,40,50.0,72.0
Peru,5.947,76,23,21,79,32,68,62,38,8,92,65,35,19,79,49,50,28,71,47,53,45.0,63.0
Philippines,6.107,70,29,19,80,25,75,75,24,5,95,65,34,15,85,47,53,26,74,65,34,62.0,84.0
Poland,6.673,87,12,30,67,66,31,85,15,9,88,88,10,33,63,77,22,34,66,75,24,66.0,81.0
Portugal,6.013,92,8,36,63,42,57,59,41,3,97,70,30,24,75,59,41,31,69,45,55,83.0,89.0
Republic Of Korea,6.038,82,18,32,68,58,42,73,27,23,75,83,17,29,70,61,39,20,80,61,39,76.0,85.0
Republic Of Moldova,5.819,85,12,38,62,42,56,61,39,8,89,73,26,45,53,75,22,30,69,61,38,72.0,80.0
Republic Of The Congo,5.03,71,28,40,59,48,50,53,47,23,76,56,44,34,65,63,36,30,70,49,51,47.0,63.0
Romania,6.563,82,18,28,71,53,46,59,41,8,90,73,26,30,69,63,36,41,58,62,37,63.0,78.0
Russian Federation,5.945,89,11,37,63,44,56,79,21,8,90,79,21,33,66,80,20,41,59,74,26,71.0,81.0
Saudi Arabia,6.6,75,25,24,76,36,63,68,32,6,94,80,20,18,81,70,30,16,84,73,27,92.0,89.0
Senegal,4.856,84,16,22,78,21,79,54,46,8,92,78,22,10,90,54,46,30,70,61,39,54.0,72.0
Serbia,6.606,86,13,36,62,55,43,75,25,8,89,86,14,47,48,74,25,44,56,65,34,78.0,84.0
Sierra Leone,2.998,64,32,66,33,48,50,30,70,24,75,61,39,33,66,45,54,43,56,43,57,49.0,57.0
Singapore,6.565,87,13,26,72,48,51,81,19,7,92,85,14,24,74,66,34,25,75,70,30,94.0,95.0
Slovakia,6.221,80,20,22,76,50,48,74,26,8,88,84,15,33,65,67,32,30,69,63,36,66.0,82.0
Slovenia,6.792,86,14,40,60,42,58,73,27,6,94,82,18,33,67,64,36,29,71,54,46,91.0,89.0
Somalia,4.347,86,13,15,83,58,41,69,30,10,90,73,27,13,83,86,14,27,73,70,30,81.0,82.0
South Africa,5.213,83,17,22,77,47,51,72,28,15,85,74,25,17,82,64,36,23,76,65,35,30.0,58.0
Spain,6.466,77,23,40,60,37,63,66,34,6,94,77,23,27,73,62,38,25,74,49,51,82.0,87.0
Sri Lanka,3.891,70,29,35,65,34,65,56,44,16,83,61,39,18,82,45,55,44,56,62,37,54.0,77.0
State Of Palestine,4.78,61,39,36,63,59,41,55,45,8,91,72,28,31,69,54,46,39,61,54,46,71.0,75.0
Sweden,7.345,89,11,20,80,34,66,78,22,5,94,82,17,24,76,69,31,37,63,70,30,79.0,88.0
Switzerland,6.935,89,11,20,80,30,70,71,29,9,91,83,17,26,74,72,28,25,75,73,27,87.0,91.0
Taiwan China,6.669,90,10,15,84,42,57,82,18,9,89,94,6,19,80,67,33,24,75,83,17,84.0,88.0
Tajikistan,5.411,79,21,33,65,49,49,69,31,4,95,81,19,25,72,71,29,15,85,70,30,92.0,95.0
Tanzania,3.8,85,15,28,72,42,58,58,42,19,81,75,25,20,80,42,58,27,73,77,23,67.0,79.0
Thailand,6.222,84,15,18,81,24,75,64,36,7,92,84,15,16,83,72,27,22,78,66,34,64.0,79.0
Togo,4.315,74,26,47,52,48,51,47,53,29,71,72,27,41,59,65,34,43,57,45,55,50.0,71.0
Tunisia,4.552,61,39,57,43,74,26,53,47,9,91,83,17,31,69,53,47,46,54,47,53,65.0,76.0
Türkiye,5.262,65,34,55,42,75,23,75,23,19,79,73,26,59,37,41,58,43,56,55,44,66.0,82.0
Uganda,4.461,71,29,29,71,36,62,53,47,14,84,64,36,16,84,50,49,27,73,52,48,47.0,62.0
Ukraine,4.68,78,22,45,54,56,43,65,35,5,91,60,39,50,48,68,32,56,44,46,53,59.0,73.0
United Arab Emirates,6.759,69,31,30,70,42,58,67,33,18,82,72,28,31,69,64,36,22,77,68,32,90.0,90.0
United Kingdom,6.728,83,17,19,81,38,62,73,27,12,88,71,28,27,73,62,38,27,73,63,37,76.0,82.0
United States Of America,6.724,82,18,22,78,40,60,65,34,10,89,74,26,27,73,49,51,33,67,59,41,72.0,81.0
Uruguay,6.661,91,9,17,83,43,56,65,34,2,98,75,25,13,85,56,43,29,71,54,46,52.0,75.0
Uzbekistan,6.193,77,23,13,86,43,56,76,24,3,96,83,17,18,80,87,13,15,84,79,21,84.0,89.0
Venezuela,5.683,85,14,26,74,31,69,63,37,3,97,71,29,16,84,55,45,23,76,53,47,45.0,66.0
Vietnam,6.352,95,5,29,71,46,53,93,7,3,97,89,11,11,88,86,14,8,92,79,20,77.0,90.0
Yemen,3.561,72,28,47,51,68,31,58,42,20,80,76,24,49,51,64,36,47,53,50,50,56.0,71.0
Zambia,3.912,78,22,31,68,51,47,53,47,12,88,66,33,21,79,57,42,33,67,47,52,43.0,65.0
Zimbabwe,3.396,90,10,42,58,54,46,74,26,16,84,82,18,21,79,72,28,38,62,74,26,38.0,69.0
