Country,Happiness Index,Unemployment rate (%),GDP per hour worked ($),Non-fatal occupational injuries per 100'000 workers,Occupational fatalities per 100'000 workers,Inspectors per 10'000 employed persons,min. monthly wage (PPP $),Extremely poor (%),Moderately poor (%),Not extremely or moderately poor (%),Average hours per week per employed person,Share of employed working 49 or more hours per week (%),Employment to Population ratio %
Luxembourg,7.122,5.2,166.1,2690.0,1.8,2.8,2797.0,,,,35.6,6.0,57.4
Macao,,,,1891.0,6.9,2.7,,,,,46.0,14.0,
Macao China,,2.5,92.0,,,,,,,,,,62.7
Madagascar,4.157,3.2,1.9,,,,154.0,78.0,14.0,9.0,34.5,10.0,82.6
Malawi,3.26,0.9,2.8,,,,186.0,68.0,20.0,12.0,,,63.4
Malaysia,5.955,3.9,30.4,578.0,3.8,0.5,1024.0,0.0,0.0,100.0,44.7,12.0,63.1
Maldives,,4.6,20.6,,,,587.0,0.0,0.0,100.0,46.5,32.0,60.7
Mali,4.345,2.4,3.0,,,,209.0,22.0,33.0,45.0,41.9,19.0,67.1
Malta,6.316,3.5,67.2,863.0,3.3,0.2,1548.0,,,,36.8,7.0,62.1
Marshall Islands,,9.8,,,,,655.0,,,,37.9,11.0,
Martinique,,17.6,,,,,,,,,,,
Mauritania,4.542,10.4,15.1,,,,,3.0,16.0,81.0,47.6,46.0,36.5
Mauritius,5.832,5.6,32.8,198.0,0.6,2.6,585.0,0.0,0.0,100.0,40.1,1.0,52.3
Mexico,6.979,2.8,22.4,2529.0,7.7,0.1,566.0,0.0,4.0,96.0,43.7,28.0,59.9
Micronesia Federated States Of,,,,,,,,,,,30.4,2.0,
Monaco,,6.3,,,,,,,,,,,
Mongolia,5.833,5.2,19.6,29.0,4.8,0.7,592.0,0.0,0.0,100.0,47.3,33.0,56.9
Montenegro,5.877,14.9,37.5,,,,1194.0,0.0,0.0,100.0,43.3,12.0,41.1
Montserrat,,8.3,,,,,,,,,39.0,9.0,
Morocco,4.622,11.8,13.7,,,,772.0,1.0,8.0,92.0,44.9,38.0,40.0
Mozambique,5.19,6.8,2.4,,,,352.0,70.0,16.0,14.0,36.4,19.0,76.0
Myanmar,4.321,1.5,5.8,12.0,3.1,0.1,250.0,3.0,18.0,80.0,44.7,38.0,53.3
Namibia,4.911,19.9,15.6,,,,,7.0,10.0,84.0,44.9,34.0,48.0
Nan,,,,,,,,,,,,,
Nauru,,5.1,,,,,,,,,37.4,6.0,
Nepal,5.311,10.7,9.8,,,,500.0,0.0,5.0,94.0,41.0,28.0,35.5
Netherlands,7.306,3.5,90.4,1072.0,0.3,,2625.0,,,,31.6,6.0,64.9
New Caledonia,,10.7,74.9,6.0,7.0,,1365.0,,,,37.2,9.0,50.1
New Zealand,6.952,3.7,50.4,1200.0,2.3,0.3,2561.0,,,,33.0,15.0,67.9
Nicaragua,6.33,5.2,9.4,,,,564.0,1.0,6.0,92.0,36.5,19.0,62.5
Niger,4.725,0.4,2.3,,,,195.0,42.0,36.0,22.0,39.7,29.0,72.3
Nigeria,4.885,3.1,5.8,,,,260.0,26.0,31.0,43.0,,,80.1
Niue,,0.6,,,,,,,,,38.6,14.0,
North Macedonia,5.503,13.2,33.6,,,,1040.0,1.0,3.0,97.0,39.7,3.0,45.4
Norway,7.262,3.6,123.6,48.0,1.1,1.2,,,,,33.7,6.0,62.7
Oman,6.197,3.3,32.8,,,,1756.0,8.0,6.0,86.0,,,65.7
Pakistan,4.768,6.3,7.2,2691.0,,,571.0,4.0,32.0,64.0,46.9,40.0,49.7
Palau,,0.8,,,,,728.0,,,,39.9,4.0,
Panama,6.407,6.7,42.9,1.0,1.0,0.5,884.0,0.0,2.0,98.0,36.2,9.0,60.7
Papua New Guinea,,2.7,6.1,,,,262.0,27.0,27.0,47.0,,,50.6
Paraguay,6.172,5.8,16.4,,,,986.0,0.0,2.0,98.0,,,66.6
Peru,5.947,4.9,13.3,,,,521.0,3.0,7.0,90.0,43.1,32.0,69.2
Philippines,6.107,2.6,12.1,417.0,9.6,0.1,400.0,2.0,8.0,90.0,40.6,19.0,59.4
Poland,6.673,2.7,48.8,473.0,1.5,0.9,1792.0,,,,39.8,9.0,56.7
Portugal,6.013,6.5,54.4,2499.0,1.9,0.9,1570.0,,,,38.2,8.0,54.7
Puerto Rico,,6.0,63.6,,,,,0.0,0.0,100.0,,,38.3
Qatar,,0.1,56.8,40.0,3.0,1.3,364.0,0.0,0.0,100.0,48.0,29.0,87.2
